id,prompt,A,B,C,D,E,answer
276,How can vacuum improve processes?,By increasing the pressure,By decreasing the pressure,By maintaining normal air pressure,By increasing the temperature,By decreasing the temperature,B
277,What are some applications of vacuum engineering techniques?,Manufacturing of electron devices and incandescent lamps,Chemical processing,Drying and filtering,All of the above,None of the above,D
278,"What pressure range is considered a ""rough"" vacuum?",Below one-millionth of one Pascal,Over 100 Pascals,One Pascal,Atmospheric pressure,None of the above,B
279,What type of equipment is used in ultrahigh vacuum systems?,"Conventional methods of analysis, materials, pumps and measuring instruments",Specialized equipment to achieve pressures below one-millionth of one Pascal,"Gauges, vapor jet and pumps, vapor traps and valves","Processing tank, steam simulator, particle accelerator",None of the above,B
280,What is a persistence barcode?,A barcode used for scanning products in a store,An algebraic invariant of a persistence module that characterizes the stability of topological features throughout a growing family of spaces,A barcode used to track the lifetime of a topological feature in a filtration,A barcode used to measure the amount of noise in data,A barcode used to capture all the topological information in a filtration,B
281,What do longer intervals in a persistence barcode correspond to?,More robust features,Less robust features,Noise in the data,No correlation,None of the above,A
282,Who first introduced the concept of persistence barcodes?,Sergey Barannikov in 1994,Gunnar Carlsson et al. in 2004,Both Sergey Barannikov in 1994 and Gunnar Carlsson et al. in 2004,Neither Sergey Barannikov nor Gunnar Carlsson,Unknown,C
283,What is a persistence module?,A collection of F-vector spaces indexed over R,A collection of linear maps between F-vector spaces,A collection of intervals in the extended real line,A collection of topological features in a filtration,None of the above,A
284,What property must the linear maps in a persistence module satisfy?,"φs,t ∘ φr,s = φr,t","φs,t + φr,s = φr,t","φs,t * φr,s = φr,t","φs,t / φr,s = φr,t",None of the above,A
285,What is the main objective of the UniverseMachine project?,To study the evolution of the universe,To discover the role of dark matter,To compare different universes,To develop insights into the possible beginning of our universe,To simulate various models of possible universes,A
286,Who is the lead investigator of the UniverseMachine project?,Peter Behroozi,Charlie Conroy,Andrew Hearin,Risa Wechsler,None of the above,A
287,How many universes were generated by the research team?,Over 8 million,At least 9.6×1013,2000,3 weeks,None of the above,A
288,What resources did the research team use to process the data?,Computers at NASA Ames Research Center,"Computers at Leibniz-Rechenzentrum in Garching, Germany",High-Performance Computing cluster at the University of Arizona,All of the above,None of the above,D
289,Which organizations provide support funding for the UniverseMachine project?,NASA,National Science Foundation,Munich Institute for Astro- and Particle Physics,All of the above,None of the above,D
290,What is the main focus of digital topology?,Properties and features of digital images,Properties and features of analog images,Properties and features of 2D images,Properties and features of 3D images,Properties and features of topological objects,A
291,Who is considered a pioneer in the field of digital topology?,Azriel Rosenfeld,Pavel Alexandrov,Heinz Hopf,Theodosios Pavlidis,Vladimir A.,A
292,"When was the term ""digital topology"" first used?",1960s,1970s,1980s,1990s,2000s,B
293,What is an example of digital connectivity in two dimensions?,4-connectivity,8-connectivity,6-connectivity,26-connectivity,Depth-first search,B
294,Which method is used for finding connected components?,Depth-first search,Breadth-first search,Dijkstra's algorithm,Prim's algorithm,Kruskal's algorithm,A
295,What is the main purpose of forensic science?,To analyze financial and banking data,To testify as expert witnesses in both criminal and civil cases,To travel to the scene of the crime to collect evidence,"To analyze DNA, fingerprints, and bloodstain patterns",To analyze firearms and ballistics,D
296,What is the etymology of the term forensic?,"It comes from the Latin word meaning ""of a forum, place of assembly""",It originates from Roman times when presenting a criminal case in front of a group of public individuals,It is derived from the legal standards of admissible evidence and criminal procedure,"It is based on the analysis of financial, banking, and numerical data","It is associated with the analysis of DNA, fingerprints, and bloodstain patterns",B
297,What role do some forensic scientists play in criminal investigations?,They testify as expert witnesses in both criminal and civil cases,They analyze firearms and ballistics,"They analyze DNA, fingerprints, and bloodstain patterns",They travel to the scene of the crime to collect evidence,"They analyze financial, banking, and numerical data",C
298,What types of evidence can forensic scientists analyze?,Financial and banking data,"DNA, fingerprints, and bloodstain patterns",Firearms and ballistics,Numerical data for financial crime investigation,All of the above,E
299,In what capacity can forensic scientists work?,"As consultants from private firms, academia, or government employees",As expert witnesses in both criminal and civil cases,"In the analysis of DNA, fingerprints, and bloodstain patterns","In the analysis of financial, banking, and numerical data",All of the above,E
300,What is Abel's test used for?,Determining the derivative of a function,Testing for the convergence of an infinite series,Solving differential equations,Finding the maximum value of a function,Integrating a function,B
301,How is absolute convergence defined?,The sum of the absolute values of the summands is finite,The sum of the absolute values of the summands is infinite,The sum of the absolute values of the summands is zero,The sum of the absolute values of the summands is a complex number,The sum of the absolute values of the summands is undefined,A
302,What is the definition of absolute maximum?,The lowest value a function attains,The highest value a function attains,The derivative of a function,The integral of a function,The rate of change of a function,B
303,What is the definition of absolute minimum?,The highest value a function attains,The lowest value a function attains,The derivative of a function,The integral of a function,The rate of change of a function,B
304,What is the definition of absolute value?,The non-negative value of a real number without regard to its sign,The negative value of a real number without regard to its sign,The positive value of a real number without regard to its sign,The value of a complex number,The value of zero,A
305,What is the main objective of interval arithmetic?,To provide a simple way of calculating exact values of a function,To provide a simple way of calculating upper and lower bounds of a function's range,To provide a simple way of calculating the mean of a function,To provide a simple way of calculating the derivative of a function,To provide a simple way of calculating the integral of a function,B
306,What is the purpose of interval arithmetic in scientific works?,To calculate exact values of physical and technical parameters,To find guaranteed solutions to equations,To keep track of rounding errors and uncertainties in calculations,To optimize mathematical functions,To calculate the mean of a function's range,C
307,What is an interval in interval arithmetic?,A range of values that a variable can have,A single number that represents a value,The exact value of a physical or technical parameter,The uncertainty in the knowledge of the exact values of variables,The upper and lower bounds of a function's range,A
308,What does interval arithmetic help to mitigate in mathematical computation?,Measurement errors in physical and technical parameters,Rounding errors in calculations,Uncertainties in the knowledge of the exact values of variables,Limits on computational accuracy,All of the above,E
309,When is interval arithmetic commonly used?,In scientific works,In optimization problems,In finding guaranteed solutions to equations,In calculating the mean of a function,In calculating the derivative of a function,A
310,Where did Sandy Munro start his engineering career?,Ford Motor Company,Munro & Associates,Valiant Machine & Tool company,General Motors,"Troy, Michigan",C
311,What does Munro & Associates specialize in?,Electric vehicle benchmarking,Aerospace and defense,Medical sector,Lean design and tearing down automotive products,YouTube channel,D
312,In which year did Sandy Munro start his own consultancy?,1978,1988,2018,1949,"300,000",B
313,Where is Munro & Associates currently located?,"Windsor, Ontario, Canada","Troy, Michigan","Auburn Hills, Michigan",General Motors,COVID-19 pandemic,C
314,What did Sandy Munro do to raise the profile of his consultancy during the COVID-19 pandemic?,Started consulting in the aerospace and defense sectors,Started broadcasting video analyses and interviews on his YouTube channel,Performed electric vehicle benchmarking,"Moved his consultancy to Auburn Hills, Michigan",Joined the Ford Motor Company,B
315,What is process design?,The choice and sequencing of units for desired physical and/or chemical transformation of materials,The design of new facilities,The modification or expansion of existing facilities,The design of unit operations,The design of fabrication and construction plans,A
316,What is the purpose of process design documents?,To define the design and ensure that the design components fit together,"To communicate ideas and plans to other engineers, regulatory agencies, equipment vendors, and construction contractors","To provide operating manuals on how to start-up, operate, and shut-down the process",To show valving along with instrument locations and process control schemes,To specify written design requirements of all major equipment items,A
317,What is a block flow diagram?,A diagram showing each and every pipeline with piping class and pipe size,A very simple diagram composed of rectangles and lines indicating major material or energy flows,A diagram showing major unit operations as well as flow lines,A diagram showing valving along with instrument locations and process control schemes,A written design requirement of all major equipment items,B
318,What is a process flow diagram (PFD)?,A diagram showing each and every pipeline with piping class and pipe size,A very simple diagram composed of rectangles and lines indicating major material or energy flows,A diagram showing major unit operations as well as flow lines,A diagram showing valving along with instrument locations and process control schemes,A written design requirement of all major equipment items,C
319,What are piping and instrumentation diagrams (P&ID)?,Diagrams showing each and every pipeline with piping class and pipe size,Very simple diagrams composed of rectangles and lines indicating major material or energy flows,Diagrams showing major unit operations as well as flow lines,Diagrams showing valving along with instrument locations and process control schemes,Written design requirements of all major equipment items,D
320,What are the two primary types of marine heat exchangers used aboard vessels in the maritime industry?,Plate and tube heat exchangers,Shell and tube heat exchangers,Plate and shell heat exchangers,Parallel and compressed heat exchangers,Marine and non-marine heat exchangers,C
321,What is the main advantage of plate-type marine heat exchangers?,They have a small footprint,They are more efficient than other types of heat exchangers,They are less prone to fouling and galvanic corrosion,They can be used for both heating and cooling,They are cheaper to maintain,A
322,What is the purpose of maintenance for heat exchangers?,To increase their efficiency,To prevent fouling and galvanic corrosion,To improve their cooling capacity,To reduce their footprint,To make them compatible with non-marine applications,B
323,What determines the passageways for fluid flow in plate-type marine heat exchangers?,The compression of the plates,The design of the plates,The temperature of the fluid,The type of metal used in the plates,The pressure inside the heat exchanger,B
324,What is the most common type of heat exchangers found aboard ocean-going vessels?,Parallel heat exchangers,Compressed heat exchangers,Shore side heat exchangers,Plate-type heat exchangers,Tube heat exchangers,D
325,When was Nature founded?,1869,1980,2012,1969,2000,A
326,Where is Nature based?,"Paris, France","New York, USA","Tokyo, Japan","London, England","Berlin, Germany",D
327,Which publishing company is Nature under?,Springer Nature,Elsevier,Wiley,Taylor & Francis,Oxford University Press,A
328,What is the readership of Nature as of 2012?,1 million unique readers per month,2 million unique readers per month,3 million unique readers per month,4 million unique readers per month,5 million unique readers per month,C
329,What is the impact factor of Nature according to the Science Edition of the 2022 Journal Citation Reports?,30.5,45.2,64.8,82.1,95.6,C
330,What is the definition of a materials property?,A property that depends on the amount of the material,A property that is a function of temperature,A physical property that does not depend on the amount of the material,A property that varies according to the direction in the material,A property that behaves linearly in a given operating range,C
331,What is anisotropy in materials properties?,A condition in which properties vary with temperature,A condition in which properties vary with direction in the material,A condition in which properties are constant,A condition in which properties are function of one or more independent variables,A condition in which properties behave linearly in a given operating range,B
332,Why are equations describing relevant materials properties often used?,To predict the attributes of a system,To simplify the differential constitutive equations,To compare different materials,To measure standardized test methods,To model linear functions,A
333,What is the atomic mass of an element?,The average mass of the atoms of an element,The number of protons in each nucleus,The mass of each atom in daltons,The relative mass of an atom in atomic mass units,The mass of the electrons in each atom,A
334,What is the atomic number of an atom or pure element?,The average mass of the atoms of an element,The number of protons in each nucleus,The mass of each atom in daltons,The relative mass of an atom in atomic mass units,The mass of the electrons in each atom,B
335,What is perceptual control theory based on?,Properties of positive feedback control loops,Properties of negative feedback control loops,Properties of both positive and negative feedback control loops,Properties of open-loop control systems,Properties of closed-loop control systems,B
336,What is the purpose of a control loop?,To maintain a sensed variable at a reference value,To maximize the effects of its outputs on the variable,To minimize the effects of its outputs on the variable,To set reference values for the system,To control multiple variables simultaneously,A
337,How are reference values set in engineering control theory?,By a user outside the system,By the physical properties of the environment,By the control loop itself,By the endogenous maintenance of the organism,By feedback from other variables in the system,A
338,What is an example of a control loop?,A thermostat,Biological homeostasis,Reflexes,Mathematical principles of control,Perceptual control theory,A
339,What type of feedback loop is closed through the environment?,Positive feedback loop,Negative feedback loop,Open-loop control system,Closed-loop control system,Endogenous feedback loop,B
340,What is the focus of wireless engineering?,Designing and applying optical technologies,Researching and developing radio communications,Creating radar systems,Utilizing acoustic technologies,Designing and applying infrared technologies,B
341,When did wireless technologies experience significant advancements?,Late 19th Century,Early 20th Century,Mid 20th Century,Late 20th Century,Early 21st Century,D
342,Which university was the first in the United States to offer a formalized undergraduate degree in wireless engineering?,Macquarie University,Universiti Teknikal Malaysia Melaka,Auburn University,Stanford University,"University of California, Berkeley",C
343,What are the two areas of study in Auburn University's wireless engineering program?,Acoustic engineering and infrared engineering,Radio engineering and radar engineering,Radar engineering and software engineering,Electrical engineering and software-oriented wireless engineering,Optical engineering and communications engineering,D
344,What is one of the most notable applications of wireless engineering?,Satellite communication,Wireless power transfer,Wireless home automation,Wireless charging,Cellular networks,E
345,What is the role of gauge bosons in particle physics?,To generate strong interactions between elementary particles,To carry the electromagnetic interaction,To provide mass to elementary fermions,To create composite bosons made of quarks,To carry the weak interaction,B
346,What is the spin of all known gauge bosons?,Spin 0,Spin 1,Spin 2,Spin 3/2,Spin 1/2,B
347,Which of the following is not a gauge boson?,Photon,W boson,Z boson,Gluon,Higgs boson,E
348,How many gauge bosons are there in quantum electrodynamics?,One,Two,Four,Eight,Ten,A
349,Why don't isolated gluons occur?,Because they have a spin of 2,Because they are composite bosons,Because they carry the electromagnetic interaction,Because they are subject to colour confinement,Because they have a mass of zero,D
350,What is the Annie Jump Cannon Award in Astronomy?,An annual award for women in the STEM fields,An award for outstanding contributions to astronomy by a woman within five years of earning a doctorate degree,An award for outstanding contributions to astronomy by a woman within ten years of earning a master's degree,An award for women studying for a Masters or PhD in atmospheric science,An award for women in the field of medicine,B
351,What is the Elizabeth Blackwell Medal?,An award for women who have made outstanding contributions to the cause of women in the field of medicine,An award for women who have made outstanding contributions to the cause of women in the field of biology,An award for women who have made outstanding contributions to the cause of women in the STEM fields,An award for women who have made outstanding contributions to the cause of women in the field of chemistry,An award for women who have made outstanding contributions to the cause of women in the field of engineering,A
352,Which organization gives the FASEB Excellence in Science Award?,The American Medical Women's Association,The Federation of American Societies for Experimental Biology,The Biophysical Society,The Association of American Medical Colleges,The American Chemical Society,B
353,What is the Violet Diller Professional Excellence Award?,An award for women in the field of medicine,An award for women in the field of biology,An award for women in the field of chemistry,An award for women in the field of mathematics,An award for women in the field of engineering,C
354,Who established the BlackBerry Women and Technology Awards?,The American Medical Women's Association,The Institute of Physics,The Biophysical Society,The Federation of American Societies for Experimental Biology,BlackBerry,E
355,What is the Gibbs Brothers Medal awarded for?,Outstanding contributions in the field of naval architecture and marine engineering,Excellence in theoretical hydromechanics,Wide-ranging original contributions in the practical arts of ocean systems,Environmental protection in naval architecture,Contributions in yacht design and education,A
356,Who established the Gibbs Brothers Medal?,Jerome H. Milgram,William Francis Gibbs,Frederic Herbert Gibbs,"Robert G. Keane, Jr.",Keith W.,B
357,What did Jerome H. Milgram receive the Gibbs Brothers Medal for?,Wide-ranging original contributions to naval architecture in theoretical hydromechanics,Excellence in education and yacht design,Environmental protection in the field of naval architecture,Outstanding contributions in the practical arts of ocean systems,Contributions in the field of marine engineering,A
358,"What is Robert G. Keane, Jr. known for in the field of naval architecture?",Excellence in theoretical hydromechanics,Wide-ranging original contributions in the practical arts of ocean systems,Outstanding contributions in the field of marine engineering,Designing outstanding naval warships,Contributions in the field of environmental protection,D
359,Which recipient of the Gibbs Brothers Medal had a major part in designing outstanding naval warships?,Jerome H. Milgram,William Francis Gibbs,Frederic Herbert Gibbs,"Robert G. Keane, Jr.",Keith W.,D
360,"What does the term ""differential"" refer to in mathematics?",The derivatives of functions,Infinitesimal differences,The concept of infinitely small changes,The linearization of a function,The generalization for functions of multiple variables,C
361,Which branches of mathematics use the term differential?,Calculus,Differential geometry,Algebraic geometry,Algebraic topology,All of the above,E
362,How is the differential dx defined in calculus?,An infinitely small change in the variable x,A change in the value of x,The derivative of y with respect to x,The ratio of differences Δy/Δx,The linearization of a function,A
363,What does the formula dy/dx represent?,The derivative of y with respect to x,The ratio of differences Δy/Δx,The linearization of a function,An infinitely small change in the variable x,The generalization for functions of multiple variables,A
364,How are the differentials interpreted in traditional approaches to calculus?,As derivatives,As infinitely small quantities,As linearizations of functions,As generalizations for functions of multiple variables,As ratios of differences,B
365,What is electron cyclotron resonance (ECR)?,"A phenomenon observed in plasma physics, condensed matter physics, and accelerator physics",A phenomenon observed only in plasma physics,A phenomenon observed only in condensed matter physics,A phenomenon observed only in accelerator physics,A phenomenon observed in plasma physics and accelerator physics,A
366,What causes an electron to move in a circle in a static and uniform magnetic field?,The Lorentz force,The electromagnetic force,The gravitational force,The electric force,The centrifugal force,A
367,What is the resonance condition for electron cyclotron resonance (ECR) to occur?,B = 875 G = 0.0875 T,B = 2.45 GHz,B = eB/m,"B = γm0,e","B = eB/γm0,e",A
368,How can an ionized plasma be efficiently produced or heated?,By superimposing a static magnetic field and a high-frequency electromagnetic field at the electron cyclotron resonance frequency,By superimposing a static magnetic field and a low-frequency electromagnetic field at the electron cyclotron resonance frequency,By superimposing a dynamic magnetic field and a high-frequency electromagnetic field at the electron cyclotron resonance frequency,By superimposing a dynamic magnetic field and a low-frequency electromagnetic field at the electron cyclotron resonance frequency,By superimposing a static magnetic field and a high-frequency electromagnetic field at a frequency other than the electron cyclotron resonance frequency,A
369,"In magnetic fusion energy research, how can the location of power deposition be controlled?",By adjusting the static magnetic field strength,By adjusting the high-frequency electromagnetic field strength,By adjusting the toroidal magnetic field strength,By adjusting the major radius,By adjusting the axial motion,D
370,What is process control?,"A discipline that uses industrial control systems and control theory to achieve consistency, economy, and safety in production processes","A technique used in industries such as automotive, mining, dredging, oil refining, pulp and paper manufacturing, chemical processing, and power generating plants",A method that enables a small number of operators to manage complex processes to a high degree of consistency,A system that allows for the design and operation of large high volume and complex processes,All of the above,E
371,What are some industries that use process control?,Automotive,Mining,Dredging,Oil refining,All of the above,E
372,What were some early process control breakthroughs?,Inventing float valves to regulate water level in water clocks,Inventing a water valve similar to the fill valve used in modern toilets,Inventing a bimetallic thermostat for controlling temperature in a furnace,Discovering the pressure inside a vessel could be regulated by placing weights on top of the vessel lid,All of the above,E
373,What was the role of large industrial process control systems in the development of complex processes?,They enabled the design of large high volume and complex processes,They made complex processes economically and safely operable,They allowed for the management of complex processes by a small number of operators,"They ensured consistency, economy, and safety in production processes",All of the above,E
374,What can the applications of process control range from?,Controlling the temperature and level of a single process vessel,Managing a complete chemical processing plant with several thousand control loops,"Achieving consistency, economy, and safety in production processes",Designing and operating large high volume and complex processes,All of the above,E
375,Who devised the Peterson Identification System?,John James Audubon,Roger Tory Peterson,Rachel Carson,Jane Goodall,David Attenborough,B
376,What is the purpose of the Peterson Identification System?,To identify birds by their field marks,To collect birds for scientific study,To study the behavior of birds,To protect birds from environmental threats,To train bird watchers,A
377,How did the Peterson Identification System contribute to the environmental movement?,By promoting the use of binoculars and spotting scopes,By replacing the shotgun as a bird watching tool,By raising awareness of the need for bird conservation,By advocating for the protection of natural habitats,By educating amateur naturalists and laymen,C
378,What was another application of the Peterson System?,Plane identification,Fish identification,Plant identification,Insect identification,Mammal identification,A
379,How widely accepted is the Peterson Identification System?,It is only accepted in the United States and Europe,It is the near-universally accepted standard worldwide,It is only accepted by specialists,It is not widely accepted by naturalists and laymen,It is accepted by some publishers and authors of field guides,B
380,What is the overall aim of gerontechnology?,To maximize the vital and productive years in the later years of life,To create technological environments for older people,To reduce the cost of care for older adults,To promote human health and well-being,To increase vitality and quality of life throughout the lifespan,A
381,Which domains of human activity does gerontechnology cover?,"Health & self-esteem, housing & activities of daily living, communication & governance, mobility & transport, work & leisure","Health & self-esteem, communication & governance, work & leisure","Housing & activities of daily living, mobility & transport, work & leisure","Health & self-esteem, housing & activities of daily living, communication & governance","Housing & activities of daily living, communication & governance, mobility & transport",A
382,What is another term commonly used for gerontechnology in Europe and the United States?,HealthTech,AgeTech,Gerotechnology,Assistive Technology,Inclusive Design,B
383,Who benefits from the research outcomes of gerontechnology?,"Designers, builders, engineers, and manufacturers",Those in the health professions,Older adults,Gerontechnologists,All of the above,E
384,What does gerontechnology contribute to the sustainability of an aging society?,Creating technological environments for older adults,Providing an optimum living environment for all ages,Maximizing the vital and productive years in the later years of life,Compressing morbidity and increasing vitality and quality of life,Reducing the cost of care for older people,D
385,What is the purpose of a switch in an electrical circuit?,To increase the electric current in the circuit,To interrupt the electric current in the circuit,To amplify the electric current in the circuit,To generate electricity in the circuit,To store electricity in the circuit,B
386,What is the most common type of switch?,Toggle switch,Rotary switch,Mercury switch,Push-button switch,Relay,A
387,How can a switch be operated?,Manually,Automatically,Remotely,All of the above,None of the above,D
388,What is a common use of switches?,Control of lighting,Control of temperature,Control of pressure,Control of liquid level,All of the above,A
389,What is a circuit breaker?,A type of switch,A device that generates electricity,A device that amplifies the electric current,A device that stores electricity,A device that measures temperature,A
390,What is the main purpose of the Indy Autonomous Challenge (IAC)?,To develop software for autonomous vehicles,To race autonomous race cars in oval circuits,To provide a challenging environment for the development of autonomous vehicles,To test the maturity of algorithms in cloud computing,To demonstrate the ability to race autonomously,C
391,Which level of autonomy do the vehicles participating in the IAC have?,Level 1 autonomous,Level 2 autonomous,Level 3 autonomous,Level 4 autonomous,Level 5 autonomous,D
392,When did the first race of the Indy Autonomous Challenge take place?,November 2019,October 2021,June 2023,July 2023,December 2022,B
393,Which university is not part of the teams participating in the IAC?,Massachusetts Institute of Technology,University of Pittsburgh,KAIST,Politecnico di Milano,Stanford University,E
394,What was the first road course circuit where the IAC race took place?,Indianapolis Motor Speedway,Las Vegas Motor Speedway,Texas Motor Speedway,Monza Circuit,Daytona International Speedway,D
395,What is the term used to describe an enzyme that catalyses a reaction so efficiently that the rate limiting step is that of substrate diffusion into the active site or product diffusion out?,Chemical limitation,Evolutionary limitation,Kinetic perfection,Catalytic perfection,Diffusion limitation,D
396,What does a diffusion-limited enzyme represent in terms of evolution?,"An intrinsic, physical constraint",A maximum peak height in the fitness landscape,An evolutionary limitation,A chemical limitation,A diffusion limitation,B
397,How rare are diffusion limited perfect enzymes?,Very common,Very rare,Moderately common,Moderately rare,Extremely rare,E
398,What is the typical rate at which most enzymes catalyse their reactions in comparison to the diffusion-limited rate?,Same rate as the diffusion-limited rate,10-100 times slower than the diffusion-limited rate,"100-1,000 times slower than the diffusion-limited rate","1,000-10,000 times slower than the diffusion-limited rate","10,000-100,000 times slower than the diffusion-limited rate",D
399,Who originally utilized the theory of diffusion-controlled reaction to estimate the upper limit of enzyme-substrate reaction?,R.A. Alberty,Gordon Hammes,Manfred Eigen,All of the above,None of the above,D
400,What is the study of arithmetic semigroups as a means to extend notions from classical analytic number theory called?,Analytic number theory,Abstract analytic number theory,Abstract algebra,Abstract differential geometry,Absolute differential calculus,B
401,What is the name of synthetic geometry similar to Euclidean geometry but without the parallel postulate?,Absolute differential calculus,Abstract differential geometry,Absolute geometry,Abstract algebra,Abstract analytic number theory,C
402,What is the part of algebra devoted to the study of algebraic structures in themselves called?,Absolute differential calculus,Abstract analytic number theory,Abstract algebra,Abstract differential geometry,Absolute geometry,C
403,What is a form of differential geometry without the notion of smoothness from calculus called?,Abstract algebra,Abstract differential geometry,Absolute geometry,Absolute differential calculus,Abstract analytic number theory,B
404,What is an older name of Ricci calculus?,Abstract differential geometry,Abstract algebra,Absolute differential calculus,Absolute geometry,Analytic number theory,C
405,What was Office/36?,A suite of applications for IBM System/36 computers.,A suite of applications for IBM System/360 computers.,A suite of applications for IBM System/38 computers.,A suite of applications for IBM System/32 computers.,A suite of applications for IBM System/34 computers.,A
406,Which component of Office/36 was a word processing program?,IDDU/36,Query/36,DisplayWrite/36,Personal Services/36,None of the above,C
407,Which component of Office/36 had online dictionaries and spell-check capabilities?,IDDU/36,Query/36,DisplayWrite/36,Personal Services/36,None of the above,C
408,What were the changes required to S/36 design to support Office/36 functionality?,"Addition of new container objects called ""folders"".",Ability to produce multiple extents to folders on demand.,Both option 1 and option 2.,None of the above.,Not mentioned in the text.,C
409,"Which Office/36 component allowed use of bold, underline, and other display formatting characteristics in real time?",IDDU/36,Query/36,DisplayWrite/36,Personal Services/36,None of the above,C
410,What are the major subareas of mathematical logic?,"Algebra, calculus, and geometry","Model theory, proof theory, and set theory","Number theory, analysis, and topology","Combinatorics, graph theory, and statistics","Logic, philosophy, and linguistics",B
411,What does research in mathematical logic commonly address?,The history of mathematics,The application of logic in computer programming,The mathematical properties of formal systems of logic,The study of abstract algebra,The development of mathematical algorithms,C
412,What is the study of foundations of mathematics?,The study of mathematical proofs,The study of mathematical modeling,The study of mathematical logic,The study of mathematical analysis,The study of mathematical applications,C
413,Who developed the program to prove the consistency of foundational theories?,Kurt Gödel,Gerhard Gentzen,David Hilbert,Georg Cantor,Alfred Tarski,C
414,"What did the results of Kurt Gödel, Gerhard Gentzen, and others provide?",A complete resolution to the program,A proof of the consistency of foundational theories,A new axiomatic framework for geometry,A method to compute mathematical algorithms,Partial resolution to the program and clarified the issues involved in proving consistency,E
415,What is the purpose of the BREIN grid system?,To provide easy access to grid resources,To address obstacles to wide adoption of grid technologies,To build simple and reliable grid systems for business,To develop a new user-friendly grid-based research e-infrastructure,To deliver grid technology that can be used today by current users,C
416,Which project aims to enable the European neuroscience community to perform research on degenerative brain diseases?,BREIN,AssessGrid,GridCOMP,neuGRID,OurGrid,D
417,What is the purpose of the OurGrid project?,To provide easy access to grid resources,To address obstacles to wide adoption of grid technologies,To build simple and reliable grid systems for business,To develop a new user-friendly grid-based research e-infrastructure,To deliver grid technology that can be used today by current users,E
418,Which project is a distributed neural computing grid?,GridECON,ScottNet NCG,BEinGRID,Legion,Open Science Grid,B
419,Which project aims to provide free open source software and support to the UK e-research community?,OMII-Europe,OMII-UK,SARA Computing and Networking Services,Storage@home,StrataGenie,B
420,What is the common assumption stated as part of these puzzles?,The jugs are regularly shaped and marked,It is possible to accurately measure any quantity of water that does not completely fill a jug,Water can be spilled during the pouring process,Each step pouring water from a source jug to a destination jug stops when either the source jug is empty or the destination jug is full,The jugs have unknown integer capacities,D
421,What does Bézout's identity state about the solution of water pouring puzzles?,The desired volume must be a multiple of the greatest common divisor of all the integer volume capacities of jugs,The desired volume can be any integer value,The desired volume must be equal to the sum of all the integer volume capacities of jugs,The desired volume must be less than the capacity of the largest jug,The desired volume must be greater than the sum of all the integer volume capacities of jugs,A
422,What is the standard example of a water pouring puzzle?,"Three jugs with capacities 6, 4, and 2 liters","Three jugs with capacities 10, 7, and 5 liters","Three jugs with capacities 8, 5, and 3 liters","Three jugs with capacities 12, 9, and 6 liters","Three jugs with capacities 15, 12, and 9 liters",C
423,How many steps are needed to solve the standard water pouring puzzle example?,Four steps,Six steps,Seven steps,Eight steps,Ten steps,C
424,Which actions in water pouring puzzles are reversible?,Transferring water from a full jug to any jug,Transferring water from any jug to an empty jug,Transferring water from a partially full jug to another partially full jug,Spilling water during the pouring process,Stopping/turning on the boundaries of the Cartesian grid,A
425,Who discovered Bloch's theorem?,Felix Bloch,Albert Einstein,Max Planck,Marie Curie,Erwin Schrödinger,A
426,What is the mathematical form of Bloch's theorem?,ψ = ue^{ik⋅r}u,ψ = ue^{ik⋅r},ψ = ie^{ik⋅r},ψ = e^{ik⋅r},ψ = u,B
427,What are solutions to the Schrödinger equation in a periodic potential called?,Bloch functions,Plane waves,Periodic functions,Eigenstates,Wave functions,A
428,What is the term for electrons described in terms of Bloch functions?,Bloch Waves,Periodic Electrons,Band Electrons,Bloch Electrons,Crystal Electrons,D
429,What is the band index in Bloch functions?,k,r,n,K,ψ,C
430,Who edited and published the three-volume work on Japanese mathematics called Jinkōki?,Yoshida Mitsuyoshi,Kan'ei era,Idai,Shinpen Jinkōki,Edo period,A
431,In which year was the edition of Jinkōki released that became particularly widespread?,1627,1641,1634,18th year of Kan'ei,Japanese mathematics,B
432,What type of mathematical problems were included in Jinkōki?,Geometry problems,Calculus problems,Problems relevant to merchants and craftsmen,Number theory problems,Algebra problems,C
433,What was significant about the printing of Jinkōki?,It was the first Japanese book to use printing in color,It was the first Japanese book to use printing,It was the first book to use printing in color,It was the first book to use printing,It was the first book to use color,A
434,Which period was the Jinkōki considered to be one of the most widely read books?,Kan'ei era,Idai,Shinpen Jinkōki,Edo period,Yoshida Mitsuyoshi,D
435,What is a constant function?,A function whose output value is different for every input value,A function whose output value is the same for every input value,A function whose output value is randomly generated,A function whose output value depends on the input value,A function whose output value is always negative,B
436,What is the general form of a constant function?,y(x) = mx + b,y(x) = c,y(x) = ax^2 + bx + c,y(x) = sin(x),y(x) = e^x,B
437,What is the domain of a constant function?,The set of all real numbers,The set of all positive numbers,The set of all negative numbers,The set of all integers,The set of all fractions,A
438,What is the codomain of a constant function?,The set of all real numbers,The set of all positive numbers,The set of all negative numbers,The set of all integers,The set of all fractions,A
439,What is the graph of a constant function?,A vertical line in the plane,A horizontal line in the plane,A parabola,A circle,A sine wave,B
440,What is a multi-valued treatment?,A treatment that can take on more than two values.,A treatment that can only take on two values.,A treatment that can take on any number of values.,A treatment that has a finite number of values.,A treatment that has an infinite number of values.,A
